textOriginal,textPreprocessed,class
"ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800",". . . . 3 3 free yes £ £ bill o due 0870 india cust sed got giv shit 250 800",1
"Sir, i am waiting for your call.",". sir , call wait",0
"Yay! You better not have told that to 5 other girls either.",". 5 tell ! well girl yay",0
"Yo theres no class tmrw right?","? right class yo there",0
"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""",". time - try keep "" "" personal thought always everybody happy nobody alone",0
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101359 NOW! Only 10p per min. BT-national-rate",". 2 2 u , ! time call win prize easy 750 claim 2nd per try pound contact u. 10p min. bt-national-rate",1
"	Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186","? 2 2 fun get + + + ! ! call : new help gold enjoy jamster club credit logo 16",0
"Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.",". . . customer customer expire immediately thank contact dear paytm paytm paytm kyc care account block 24 hr. team",1
"Arms fine, how's Cardiff and uni? ","? , fine arm uni",0
"oor Step Service for Passport Assistance/PAN Card/Income Tax Return/VAT Return/Service Tax Return Contact M/s ONS 9650669988 Jwala Heri Mkt Paschim Viha","return return return / / / / / service service contact step card tax tax m s",1
"PL: Battle Royale! Gilchrist Vs Warne today at 8PM. Click http://ipl.onmix.mobi/?src=504 for IPL on mobile. To stop MIX alerts click http://onmix.mobi/alert",". . alert stop ! : today mobile battle click click",0
"You call him and tell now infront of them. Call him now.",". . tell call call",0
"I noe la... U wana pei bf oso rite... K lor, other days den...","u , lor ... ... ... den oso noe k day la wana bf rite",0
"And by when you're done I mean now","mean",0
"I dont want to hear anything","hear anything",0
"EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.",". .. .. u u know ur ... r ! / end love cos xxx doin ring j",0
"Ü takin linear algebra today?","? ü today takin",0
"Ok..lets find out�",".. � ok find",0
"	Please CALL 08712402779 immediately as there is an urgent message waiting for you","message please call urgent immediately waiting",1
"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",". , get : game > > question ringtones",1
"Aight, see you in a bit",", aight bit",0
"Actually , just do whatever, do find an excuse to be in tampa at some point before january though",", , january find just actually point whatever excuse tampa though",0
"Dear customer, Due to BVN system upgrade your ATM CARD has been De-activated, to re-activate, kindly call customer care on 08065635084 for help.",". , , , re-activate call customer customer help due dear care card system upgrade atm de-activated kindly",1
"Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke","go ... take hey ask leave day yup fri",0
"Yes! I am a one woman man! Please tell me your likes and dislikes in bed...","please like ... tell man yes ! ! bed woman",0
"Are you at work right now ?","? right work",0
"If india win or level series means this is record:)",":) win mean india series record",0
"	Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery","? ? ? 3 reply free free text call month new delivery phone 750 half line video anytime network min price rental 08000930705",1
"Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL",". like like ... ... ... remember someone someone sometimes heart heart soon bcoz everyone one bslvyl",0
"Hmmm.but you should give it on one day..",". .. day give hmmm",0
"U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030","free free u entitle co late r ! call mobile mobile update update colour camera 08002986030",1
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try","8 up , still late 's new try give g",0
"Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com","2 free ur award £ £ txt & 500 100 congratulation cd gift voucher entry weekly draw music 87066 tncs",1
"Do you know where my lab goggles went","know go lab",0
"Ill be there on  &lt;#&gt;  ok.",". ok ill & & ; ; lt # gt",0
"Then she buying today? Ü no need to c meh...","? ... buy ü today need c meh",0
"Babe ? I lost you ... Will you try rebooting ?","? ? ... try babe lose",0
"Hey... Very inconvenient for your sis a not huh?","? ... si hey huh",0
"Busy here. Trying to finish for new year. I am looking forward to finally meeting you...",". . look ... year new meet try finish busy forward finally",0
"Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...","2 get go ... ... wat sch eat today cos n lunch dad dunno",0
"	FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.",". . free send £ just & 18 c t cust 250 care entry weekly comp word enter 84128 08712405020",1
"Will you be here for food","food",0
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!!",".. u u , , , , , ! ! : : leave let none none indian version",0
"R we still meeting 4 dinner tonight?","? 4 still r meet dinner tonight",0
"Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",". u u ! / / / / invite txt final 86688 150p contact dear chat suite342/2lands row w1j6hl ldn 've xchat attempt",1
"My name is Theresa & I have 7.3milion Dollar to transfer to you for charity work to help the poor ones in ur place india. Contact memea.theresamarie@gmail.com",". ur help & work contact india name one dollar transfer charity poor place",1
"Your account has been refilled successfully by INR 100.00; . Your KeralaCircle prepaid account balance is Rs.101.00 ; . Your Transaction ID is KR 3567 .",". . . rs. transaction id ; ; account account successfully inr balance",0
"Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.",". . . . . sorry they 're like look look hear - - - - girl unless never line joke really book camera something kinda white",0
"No current and food here. I am alone also",". food alone current",0
"Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.",". 2 come stay hope like ur ! ! way tonight head hurt round",0
"I think chennai well settled?","? well think chennai settle",0
"Hi happy birthday. Hi hi hi hi hi hi hi",". happy birthday hi hi hi hi hi hi hi hi",0
"He is world famamus....","world ....",0
"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",". . . , , sorry sorry just top stuff make life happen cry cry everything else often",0
"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701462. Claim code KL345.",". . ! ! ! call £ value customer prize select claim claim code network winner 900 reward",1
"If u sending her home first it's ok lor. I'm not ready yet.",". . u send home ok lor ready yet first",0
"Aiyah e rain like quite big leh. If drizzling i can at least run home.",". . home quite like e least run rain big leh aiyah",0
"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!","? . go anything anything ! ! invite hello just try tomo saturday texting decide myself",0
"Package all your programs well","well program package",0
"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call 6299257179. Claim Code FLIP02. Valid 12hrs only. ",". . . . . , weekend ! call show rs. customer prize claim code urgent try last contact dear draw guaranteed valid 12hrs fl1pkart w0n 2,00,000 6299257179",1
"Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk",". free get stop £ summer summer ready saturday selection worth",1
"Oh god. I'm gonna Google nearby cliffs now.",". . go oh to god google",0
"....photoshop makes my computer shut down.",". computer make down ....",0
"Hey you told your name to gautham ah?","? tell hey name ah",0
"New car and house for my parents.:)i have only new job in hand:)",". :) :) new new car job house parent hand",0
"Hey what are you doing. Y no reply pa..",". reply .. hey y pa",0
"Hi my email address has changed now it is","email change hi address",0
"Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.",". . 4 come back get pick go ur stop dun ü ü ü aft car lar c wait n bus lect",0
"Hey are we going for the lo lesson or gym?","? go hey lesson gym",0
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur loved ones�.",". . � , ur person : new love situation theory argument wins d lose argue one",0
"Ok. C u then.",". . u ok c",0
"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...",". great hope like ... man ! well & & ; ; lt # gt inch",0
"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was","? free , quite 's text think sure thought set aight address",0
"You still at the game?","? still game",0
"K k:) sms chat with me.",". :) k k sms chat",0
"Gud ni8 dear..sleep well�",".. � well sleep dear gud ni8",0
"Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...","4 get go ... sch tot early n n thinkin huh lesson leu",0
"Me too! Have a lovely night xxx","! night xxx lovely",0
"K..k...from tomorrow onwards started ah?","? .. ... k k tomorrow ah start onwards",0
"Yes when is the appt again?","? yes again appt",0
"Re your call; You didn't see my facebook huh?","? re call ; huh facebook",0
"I cant pick the phone right now. I am busy",". pick right phone busy",0
"If he started searching he will get job in few days.he have great potential and talent.",". . great get day start job search few",0
"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.",". . . . . thing know go go go go tell say - - off walk why "" "" problem whatever around around same upset upset listen mad",0
"Yeah that's what I thought, lemme know if anything's goin on later",", know late 's 's anything goin think let that yeah me",0
"Still chance there. If you search hard you will get it..let have a try :)",". .. still get :) let hard try chance search",0
"Once free call me sir. I am waiting for you.",". . free sir call wait once",0
"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?","? . , get late go buy order take off off enough to cool tonight place drop tyler total",0
"Shant disturb u anymore... Jia you...","u ... ... disturb anymore",0
"The table's occupied, I'm waiting by the tree",", 's wait tree",0
"You have been randomly selected for a BestBuy gift. Get your $1000 gift card at www.bestbuy.com.your-a-winner.net/?id-ichrfcycylck",". get select $ 1000 card gift gift randomly",1
"Just sleeping..and surfing�.free time�",". .. free � � time just sleep surf",0
"I can't describe how lucky you are that I'm actually awake by noon","actually lucky awake noon",0
"And miss vday the parachute and double coins??? U must not know me very well...","? ? ? u know ... well miss double coin",0
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 7908807538 Now! ",", , ! ! call customer prize claim final contact dear caller attempt guaranteed winner 5,00,000 v0daf0ne 7908807538",1
"FreeMsg>FAV XMAS TONES!Reply REAL","reply ! tone > freemsg xmas real",1
"Apo all other are mokka players only","player",0
"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956668 ","? . . . free still + call £ £ - help 0800 500 welcome loan purpose 75,000 homeowner tenant previously refuse",1
"Yunny... I'm goin to be late","late ... goin",0
"hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx","? 2 up u home r call friend love girl hour give xxx thats alright hi baby fone fone",0
"Geeeee ... Your internet is really bad today, eh ?","? , ... today bad really internet eh",0
"Your Number has won 365,000 pounds and two mobile phones in the ongoing COCACOLA/UK PROMO. Contact MR. Billy: cocacolaclaimsoffice@yahoo.com +447014233755",". + / : win phone number pound contact mobile uk two promo mr.",1
"Ok lor... But buy wat?","? ok lor ... wat buy",0
"Gudnite....tc...practice going on","go ... .... tc practice",0
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question call  08452810075",". 2 free text call win receive final question entry entry comp wkly fa fa cup tkts 21st 87121",1
"Okie..nice to hear that..",".. .. hear nice okie",0
"Arun can u transfr me d amt","u d",0
"Sir, I am waiting for your mail.",". sir , wait mail",0
"Huh y lei...","... huh y leu",0
"St andre, virgil's cream",", 's st cream",0
"	449050000301 You have won a £2,000 price! To claim, call 09050000301.",". , ! call win £ claim price 2,000",1
"Probably earlier than that if the station's where I think it is","'s think early probably station",0
"Hey u still at the gym?","? u still hey gym",0
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear","7 ur ur ur ur ur ur ... good 1st 2nd morning wonder smile "" "" dear sms friendship lovely world 7th 6th style 5th 4th personality 3rd nature",0
"Please CALL 08712402779 immediately as there is an urgent message waiting for you","message please call urgent immediately waiting",1
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","1 free week ! ! : : win £ txt prize claim & urgent c t word membership pobox",1
"I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.",". get co year return return january end new & & ; ; day lt # gt want yetunde surprise money mid",0
"Ha... U jus ate honey ar? So sweet...","? u ... ... eat honey ha jus ar sweet",0
"Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?","? . 4 lor thk ... wat y watch tv funny izzit",0
"I havent add ü yet right..",".. right ü add yet havent",0
"No just send to you. Bec you in temple na.",". . send just temple na",0
"Great. P diddy is my neighbor and comes for toothpaste every morning",". come great every morning p",0
"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",". . . , , get ... ... good good * * love smile coffee afternoon word move drink slave await ym tm smart",0
"I wake up long ago already... Dunno, what other thing?","? up , thing already ... wake long ago dunno",0
"Really? I crashed out cuddled on my sofa.","? . really cuddle sofa",0
"Tell them the drug dealer's getting impatient","get tell 's drug",0
"Hey i will be late ah... Meet you at 945+","late ... + hey meet ah",0
"Hi mom we might be back later than  &lt;#&gt;","back late may & & ; ; lt # gt hi mom",0
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 8536074310 Now! ",", , ! ! call customer prize claim final contact dear caller attempt guaranteed winner 5,00,000 v0daf0ne 8536074310",1
"U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870",". . . 4 u call award £ £ £ every - claim 500 wins min 've cash play player bin 50 50 optout",1
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",".. , call just k per 0870 live min fantasy 08707509020 20p ntt ltd hot po box 1327 croydon cr9 5wb",1
"Prem Jewellrs Vijaynagar Lucky draw scheme , monthly Rs 300 for 12 month, every month lucky member will be given Rs3600 gold or silver article.Call-9008097492",". , , every month month silver gold draw lucky lucky rs 300 monthly 12 member",1
"Ok no prob...","ok ... prob",0
"I'm not sure if its still available though","still sure available though",0
"Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends",". . . send get year good hear text friend number number number why old",0
"So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!","? u pick tell ! ! never nothing real valentine",0
"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy.","? . . . . . . 2 2 reply u , , , like time mind save love ask girl girl boy boy boy boy hit again run run "" "" "" "" ' ' live n n n d d d d d d d d fast secret decide bt bt frnds boost boost energy energy gal gal gal throw speed hell hw shout",0
"When can ü come out?","? come ü",0
"LOOK AT THE TIME. WHAT  YOU THINK IS UP",". up look time think",0
"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",", just matter guess important enough never shit consider same place play wall high",0
"Hi good mornin.. Thanku wish u d same..",".. .. u good d wish hi same",0
"Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery",". . please call new delivery delivery customer service wait arrange years",1
"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.",". . . . . , home great great great 's well need sad car miss part place move weather",0
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","? ? ? ? ? ? . , get good hello love think today boy miss happy interview",0
"Okie","okie",0
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ","4 .. free u , get thk go ... ... ... time call sure ya hmmm liao muz hop ard abt discuss",0
"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! ",". . . 3 , , another ok already go week ! ! oh - & wait wait m friday to though wot dunno hell h become",0
"Gud mrng dear hav a nice day�keep doing well�","� � well day keep dear nice gud mrng hav",0
"Long after I quit. I get on only like 5 minutes a day as it is.",". . 5 get like day long minute quit",0
"What Today-sunday....so no work..",".. work ....",0
"Oops. 4 got that bit.",". . 4 get bit oops",0
"Come to mu, we're sorting out our narcotics situation","come , situation mu sort",0
"Yes just finished watching days of our lives. I love it.",". . yes love just day live finish watch",0
"Dont know you bring some food","know food bring",0
"Dear are you angry i was busy dear","angry dear dear busy",0
"I will treasure every moment we spend together...","... every together moment spend",0
"URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790321 from land line. Claim 3030. Valid 12hrs only 150ppm",". . . ! call award £ prize number claim urgent land line mobile 2000 150ppm guaranteed 3030 valid 12hrs",1
"Please call our customer service representative on 6299257179 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.5,00,000 FL1PKART TEAM","please call rs. guarantee customer prize service team fl1pkart w0n 6299257179 representative 10am-9pm cash 5,00,000",1
"URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM",". . . u still call £ prize claim 2nd urgent yesterday contact attempt 900 await collection",1
"Er mw im filled tuth is aight","aight er fill",0
"S:)but he had some luck.2 catches put down:)",". 2 :) :) put s down catch luck",0
"Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!","? . . 2 ur ur ur good ! : £ txt next girl question 500 answer answer ' ' ' s balance luck 83600",1
"All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?","? . . stay hope ok late good + ! time well class tomorrow pm day off coffee always same place darling",0
"Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.",". . know get ok text let morning make soon promise",0
"Can you say what happen","say happen",0
"I will see in half an hour","half hour",0
"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277.","? . u know ! win txt top quiz q player wkly sunshine sony dvd country ansr 82277",1
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209467 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","1 . . . 2 4 free , , , year ! ! ! ! call v etc miss special c cinema pass congrats yours 150pm",1
"I cant pick the phone right now. Call later",". pick late right call phone",0
"Do u noe how 2 send files between 2 computers?","? 2 2 u send noe computer file",0
"This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola",". . . pls great sorry know hope week game yesterday off enjoy abiola touch",0
"I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl",". . hope good 's ask keep open kind start that link result intelligent ttyl",0
"Oh :-)only 4 outside players allowed to play know","4 know oh :-) allow play player outside",0
"Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...","come ok late late go ... ... ... good tell take find ü ü ü early again c finish lucky pple",0
"Speaking of does he have any cash yet?","? speak yet cash",0
"Text me when you get off, don't call, my phones having problems",", , get text call phone off problem",0
"Yep, at derek's house now, see you Sunday &lt;3","3 , , 's derek & ; lt house yep sunday",0
"not that I know of, most people up here are still out of town","up , know still people town",0
"if you text on your way to cup stop that should work. And that should be BUS",". stop text way work bus cup",0
"1's finish meeting call me.","1 . call meeting ' s finish",0
"Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!",". . 2 2 u u ur tell ! call call £ - prize claim & @ personal mobile detail enter 5000 careful",1
"I'll be late...","late ...",0
"How dare you change my ring","change ring dare",0
"Thats cool. Where should i cum? On you or in you? :)","? ? . :) thats cool cum",0
"Ok ill send you with in  &lt;DECIMAL&gt;  ok.",". send ok ok ill & & ; ; lt gt decimal",0
"Should I tell my friend not to come round til like  &lt;#&gt; ish?","? come like tell friend & & ; ; lt # gt round ish til",0
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",", , , , , text sport babes new > check keep mobile selection wap tones content themob games fit",1
" if anyone calling from a mobile Co. and asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card�.",". . .. � u , anyone co coz call call ask & & & & ; ; ; ; lt lt # # # # gt gt sim make ' ' mobile card type attempt iz",0
"Ok cool. See ya then.",". . ok ya cool",0
"Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?","? . . 2 4 u u u lor already wan go wat da 1st 1st den confirm ask ask meet meet n lunch havent asap mu ge w",0
"But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.",". . + & & & & ; ; ; ; lt lt # # gt gt transfer pa brother",0
"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",". , please like ... tell well bed princess sweet",0
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's",". 2 free 's ( text ) win txt apply receive rate final & question c t ' s entry entry comp wkly fa fa cup tkts 21st 87121 std",1
"Aight, can you text me the address?","? , text aight address",0
"Moji just informed me that you saved our lives. Thanks.",". . save just life thanks moji inform",0
"Taka lor. Wat time u wan 2 come n look 4 us?","? . 2 4 come u lor wan look wat time n",0
"Ok i'm coming home now.",". come home ok",0
"Then ü come n pick me at 530 ar?","? come pick ü n ar 530",0
"YOU ARE CHOSEN TO RECEIVE A £450 AWARD! Pls call claim number 09066364315 to collect your award which you are selected to receive as a valued mobile customer.",". pls ! call award award £ value customer collect number select receive receive claim mobile chosen",1
"I've reached already.",". already reach",0
"How much are we getting?","? get",0
"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)",". . u u u u still :-) - today tomorrow mean "" "" thought happy everything opportunity",0
"Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later.",". . . . . talk 're late speak month end hey mate people we deliver deliver",0
"Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/",". . . log even like look year 's 's friend photo find have n't ask omg freak stuff :/ she she thru",0
"When are you guys leaving?","? guy leave",0
"Happy New Year Princess!","year ! new happy princess",0
"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today",", , , , , say game end \ today tomorrow yesterday march t ' friendship start word play",0
"Should i send you naughty pix? :)","? send :) pix naughty",0
