textOriginal,textPreprocessed,class
"IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx","u send say ! ! ! ! il chance contract luv",0
"Dude we should go sup again","dude go again sup",0
"Need a coffee run tomo?Can't believe it's that time of week already","? already week time believe need run coffee tomo",0
"Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.",". 2 8 up please pick ok give tuesday evening",0
"Not sure I have the stomach for it ...","... sure",0
"I'll let you know when it kicks in","know let",0
"Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)","? . back good sm ( ) / txt just think community age ever live life perfect partner name join mobile",1
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",". . , , bill guarantee just $ give "" "" shop allow company sms sell g",1
"ITS A LAPTOP TAKE IT WITH YOU.",". take laptop",0
"S.i think he is waste for rr..",".. think waste",0
"Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting","up up back anyway / hit shit always seriously otherwise light armand vomit",0
"Dun need to use dial up juz open da browser n surf...","up ... da dun need dial juz open n surf",0
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",". . , , ur say person ! friend : new just & amp ; situation always theory argument wins d lose argue ..... kick correct",0
"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)","1 reply up u u , , , send get ( ) / / txt ill just hey & work 150p 18 freemsg video pic pic hurry bored xxx rcvd",1
"[…] anyway, many good evenings to u! s","u , anyway good ! [ many evening s … ]",0
"Jan is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",". . 4 u u , , , , , , , , ... year good 's new & & & amp ; ; ; day day day day day day lt # gt morning father happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy u. jan fast wish wish valentines friendship mother teacher birthday christmas afternoon first",0
"Jus finish bathing...","... jus finish",0
"Ok set let u noe e details later...","u ok late ... e noe let set detail",0
"You busy or can I come by at some point and figure out what we're doing tomorrow","come figure tomorrow busy point",0
"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",". . . pls , ur number mobile sms mail convey regard rakhesh qatar",0
"87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077","free ur ur ! : txt news new & off club name mobile kick 87077 87077 87077 season goal eg",1
"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",". , log back ok good wk hi wkend journey",0
"Wot u up 2 u weirdo?","? 2 up u u wot",0
"U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901",". . . . . reply u u r stop call think per msg special cust care secret admirer reveal reveal 09065174042 opt 1.50 recd 07821230901",1
"And whenever you and i see we can still hook up too.",". up still whenever hook",0
"Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546",". . . reply message stop stop customer code far service discount",1
"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",", , guy still like look he 's text phone number hey wrong around",0
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, PocketBabe.co.uk 0870241182716 ",", 's ! txt day miss sexy pic pic st jordan",1
"Is fujitsu s series lifebook good?","? good s series",0
"Hahaha..use your brain dear..that will work here�",".. .. � work dear brain",0
"HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX","u back get just tomorrow night really xxx hi darlin nice thanks lift",0
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",". u , ! ! call award £ prize final urgent try bonus contact mobile 2000 caller landline 150ppm",1
"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565","2 u look ur r * think make contact secret admirer reveal u-find special-call",1
"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.",". . . 2 u u thing ok co like like wif dun new cos mah try scared",0
"Yes, princess. Toledo.",". . , yes princess",0
"K..give back my thanks.",". .. back k give thanks",0
"I'm okay. Chasing the dream. What's good. What are you doing next.",". . . . good next dream okay chase",0
"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p","4 , , , : : tone gr8 eg poly poly poly mob direct rply title title 8007",1
"Lol I would but despite these cramps I like being a girl.",". like girl lol",0
"Please CALL 08712402902 immediately as there is an urgent message waiting for you.",". message please call urgent immediately waiting",1
"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ","? 2 2 , , say anything person think v need die chance live life n lose first lift fantastic big q",0
"I'm in a meeting, call me later at 4","4 , late call meeting",0
"	Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",". . , please order call customer tone number service mobile thanks ringtone reference charge 4.50 arrive",1
"Oh my God. I'm almost home",". home oh god almost",0
"We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705","reply reply re call offer phone 750 half try contact line video anytime network min price rental 08000930705 camcorder",1
"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ","? . up u u u , , , , , , , , ok ... r ! think sure cinema b wot wot lovely eatin",0
"Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.",". . u buy yes cause stuff friendship lol hang",0
"URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only",". . . ! call award £ prize number claim urgent land line mobile 2000 guaranteed 3030 valid 12hrs",1
"That's very rude, you on campus?","? , 's that campus",0
"Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM","? ? ? ? reply text time call new 750 video network min 08000930705 camcorder handset unlimited del sat",1
"Aight ill get on fb in a couple minutes","get ill aight fb couple minute",0
"Yeah, probably earlier than that",", early yeah probably",0
"Some are lasting as much as 2 hours. You might get lucky.",". . 2 get may hour last lucky",0
"Sure, whenever you show ",", show sure whenever",0
"Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?","? ? 2 4 ... hour babe down almost internet",0
"K actually can you guys meet me at the sunoco on howard? It should be right on the way","? guy right actually way k meet",0
"Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..","2 4 5 .. .. lor wan ü ü meet depend",0
"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",". . , , please go week apply offer claim & dear voucher holder pc ts cs",1
"Where in abj are you serving. Are you staying with dad or alone.",". . stay alone dad",0
"Home so we can always chat","home always chat",0
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd","call show just per chance min fantasy = 08707509020 20p ntt ltd",1
"Sorry sir, i will call you tomorrow.  senthil.hsbc",". . sir , sorry call tomorrow",0
"I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.",". . . 2 come take may leave work urgent need plan finish travel kerala prepare once visit",0
"Pls dont forget to study","pls forget study",0
"One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..","? reply .. .. .. come u u follow ur r :) ! : : frnd :-) ask day off never run n beautiful thats clear clear clear y y sea catch gud nyt",0
"Are you willing to go for aptitude class.",". go class willing",0
"So wat's da decision?","? wat da 's decision",0
"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",". . . . 2 , , stay like r r second meet meet v v v v able d though ;-) same gud clock clock nt bt",0
"Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant","up come thing tell tell 's / / friend well make there drive smoke smoke weed",0
"Ok... But bag again..",".. ok ... again bag",0
"Cool. Do you like swimming? I have a pool and jacuzzi at my house.","? . . like cool house",0
"	You are a winner U have been specially selected 2 receive £1000 cash  speak to a live operator 2 claim 0871277810810","2 2 u speak £ select receive claim 1000 live winner cash specially operator",1
"It's ok i wun b angry. Msg u aft i come home tonight.",". . come u home ok aft msg angry b tonight wun",0
"Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates",". get week figure just try suppose set couple date different people together",0
"The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...","character ... ... 's well just never happy same world frnds dey",0
"Sorry for the delay. Yes masters",". sorry yes master",0
"Realy sorry-i don't recognise this number and am now confused :) who r u please?!","? u please r :) ! number realy",0
"	Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM","? ? ? ? reply text time call new 750 video network min 08000930705 camcorder handset unlimited del sat",1
"U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08","2 u look ur r * think make contact secret admirer reveal u-find special-call",1
"I meant middle left or right?","? right mean left",0
"I dont know oh. Hopefully this month.",". . know month oh hopefully",0
"Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing",". . know like anything time eat second day day change keep sure nothing",0
"Not tonight mate. Catching up on some sleep. This is my new number by the way.",". . . up new number sleep mate way tonight catch",0
"ALRITE","alrite",0
"Yup. Thk of u oso boring wat.",". . u thk wat oso yup",0
"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.5,00,000 prize GUARANTEED. Call 7044518857. Claim Code FLIP82. Valid 12hrs only. ",". . . . . , weekend ! call show rs. customer prize claim code urgent try last contact dear draw guaranteed valid 12hrs fl1pkart w0n 5,00,000 7044518857",1
"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx",". . u , r good ! ! feel ill xxxx hey & bore luv j hunny feelin damn iam",0
"Haha just kidding, papa needs drugs",", haha just kid need drug",0
"Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx",". . . 2 u u ! ! take nite off c care xxx cool soon darlin few thanx thanx bday drink",0
"Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night",". ur person friend feel love love way ; ; night make make never law law happy alone friendship same .... gud",0
"I have no idea where you are","idea",0
"Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color",". . . . u u u u u get go ur wat r r ! orange ; ; ; ; ; ; ; ; ; plz face smile put miss luv contact giv u. u. u. u. n wana wid wid realy realy nw pass dis red blue hot swt thnk green wnt black",0
"No one interested. May be some business plan.",". . plan interested business",0
"BMO have noticed unusual activites on your online account. You are required to verify your account details.www.97bmo.tk",". online account account notice unusual require verify",1
"If i let you do this, i want you in the house by 8am.",". , let house",0
"Your tax refund of �349.14 is ready to be claimed. To access your refund, follow the steps required. http:/bit.do/Claim-Tax",". . � , refund refund follow access claim ready step tax require http :/",1
"Rediscover the deeper meaning of life and the means to attain true peace. Understand the essence of being a true Sikh. Sms JOIN GURUBANI to 09219592195",". . mean life join sms true true peace understand",0
"How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.","? ? . . get go feel plan though type eve activity play football lazy",0
"Yep, by the pretty sculpture",", pretty yep",0
"Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas",". . pls pls pls .. .. forget today wish birthday birthday convey nimya dnt",0
"Since when, which side, any fever, any vomitin.",". , , , side fever",0
"HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX",". 9 u u sorry r ! call love tomorrow bed babe really want to xxx hi tonight",0
"URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702894",". . u still call £ prize claim 2nd urgent yesterday contact attempt 900 await collection",1
"Eat at old airport road... But now 630 oredi... Got a lot of pple...","get ... ... ... eat old airport road oredi lot pple",0
"Why are u up so early?","? up u early why",0
"Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts  call 08000930705","? free free + text call new phone mobile 100 08000930705 colour minute nokia 3510i deliveredtomorrow 300",1
"Nice talking to you! please dont forget my pix :) i want to see all of you...","talk please forget ... :) ! pix nice",0
"	Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821",". even ! call bad welcome credit purpose tenant",1
"Thx. All will be well in a few months",". month well few",0
"get ready to moan and scream :)","get :) ready moan scream",0
"Pls speak with me. I wont ask anything other then you friendship.",". . pls speak anything ask wont friendship",0
"I‘ve got some salt, you can rub it in my open wounds if you like!",", get like ! open 've i",0
"U know we watchin at lido?","? u know",0
"Feel like trying kadeem again? :V","? like : feel v try again",0
"Shuhui say change 2 suntec steamboat? U noe where? Where r u now?","? ? ? 2 u u r say noe change shuhui",0
"Nah, Wednesday. When should I bring the mini cheetos bag over?","? . , bag nah wednesday bring mini",0
"Yeah it's jus rite...","... jus rite yeah",0
"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",". up , get pick time ill enough give … that 'll park",0
"The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270",". . send : customer care current lead bid auction 08718726270",1
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",". . 4 , , ... anything mayb keep smth jus dunno hmm leh bag small dat dat except",0
"Have you laid your airtel line to rest?","? line laid airtel rest",0
"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*","? , get ! ! time oh * * half work hour day wow grin long eh canada extra",0
"Pvt Finance arranged on cheque basics 4 Business Peoples, Traders, Stockists, Industries & corporate comp, P.M turn over 20L. Cnt-9840139557",". 4 , , , , turn & comp people business arrange basic",1
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","? . , message : txt next > > credit click click n = wap link",1
"Hi Princess! Thank you for the pics. You are very pretty. How are you?","? . . ! pretty thank pic hi princess",0
"Bugis oso near wat...","... wat oso near bugis",0
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",". . 2 reply up , ur text apply new well tone rate n network weekly operator fone www.ringtones.co.uk original tones",1
"Sir, i am waiting for your call, once free please call me.",". free sir , , please call call wait once",0
"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.","? . . , send ! ! : well think why video video thanks charge purchase",1
"IM LATE TELLMISS IM ON MY WAY","late way",0
"Heehee that was so funny tho","tho funny",0
"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",", know go well let need to i be definitely",0
"	Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow","reply week text call new delivery 150 tomorrow per pound video anytime network min five 08000776320",1
"What i mean was i left too early to check, cos i'm working a 9-6.",". , leave work cos early check mean",0
"Thursday night? Yeah, sure thing, we'll work it out then","? , , thing work night sure yeah thursday",0
"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...","? . 4 u u , still 're go ... r sleep lunch awake bet",0
"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",". , send go just atm pay site test result",0
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",". , stop january ! ! ( text ) call call / rate national 10p chat min hot sale gay cheap cheap 08712460324",1
"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget","? , jay figure figure try try everyone weed money mu gas budget",0
"Todays Vodafone numbers ending with 4865 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.",". . call award award £ £ end vodafone 350 350 todays number number select receive receive match",1
"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up","up come , , tell month make "" "" smoke smoke idea little track february",0
"Its just the effect of irritation. Just ignore it",". just just effect ignore",0
"Awesome, I'll see you in a bit",", bit awesome",0
"Yup it's at paragon... I havent decided whether 2 cut yet... Hee...","2 ... ... ... yup yet cut decide hee havent",0
"No:-)i got rumour that you going to buy apartment in chennai:-)","get go buy :-) :-) chennai apartment",0
"Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.",". . . . . phone plz plz na na na ta",0
"Tell me whos this pls:-)","pls tell :-)",0
"Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?","? ? ? ? ? ? home love think morning miss remember yet yet mom kiss",0
"Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...","come get late wif ... ... ... da neva ü ü ü ü help mayb lar lar c n tmr set aiya sheet",0
"It's wylie, you in tampa or sarasota?","? , tampa wylie",0
"Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 86.","1 . ! call call access number per line fix minute penny via",1
"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",", ! ! ! ! call win £ prize 2nd urgent bonus mobile caller 150ppm attempt reach 2,000 09066362231 07xxxxxxxxx 02/06/03 asap",1
"Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+",". . . . . 4 please + ! call £ * holiday & urgent t 16 landline 150ppm cash cs await collection po box 5000 island sae",1
"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",". . 6 , know know call find 150p someone fancy pobox",1
" said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",", , person man ! ! ! day need smile kind sound effect kiss kiss gorgeous",0
"I'm leaving my house now. Will reach in half an hour�",". � half leave hour house reach",0
"Ambrith..madurai..met u in arun dha marrge..remembr?","? .. .. .. u meet",0
"	FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FEE, visit www.07781482378.com","reply free free , message message message text 500 word visit activate fee www.07781482378.com",1
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",". . , please call : delivery customer service announcement try make recently unable re-schedule ref",1
"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!","reply free free message get go right ! : just msg "" "" ringtone crazy totally",1
"Sir, I need AXIS BANK account no and bank address.",". sir , need account address bank bank",0
"Unlimited texts. Limited minutes.",". . text unlimited minute limit",0
"Waiting for your call.",". call wait",0
"I am late. I will be there at 12",". late 12",0
"Hello..Wake up.Sweet morning welcomes You. Enjoy This Day with full of joy.",". . . .. up hello wake day morning full welcome enjoy sweet joy",0
"We have all rounder:)so not required:)",":) :) require",0
"I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.",". . . please stop ask question thinkin same agree",0
"Hottest pics straight to your phone!! See me getting and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",", get ! ! ! text txt phone just 150p 18 pic pic xxx straight hot xx cost",1
"money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy","2 2 r + ! ! ! ! ! text text £ prize claim rate give winner lucky money money away normal",1
"Is she replying. Has boye changed his phone number",". reply phone number change",0
"Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.",". . .. u lor look wat say say e pretty depend hair dunno parent",0
"Just buy a pizza. Meat lovers or supreme. U get to pick.",". . . u get pick buy just pizza lover",0
"WHORE YOU ARE UNBELIEVABLE.",".",0
"Anything lor. Juz both of us lor.",". . lor lor anything juz",0
"You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!","u still still get get ur ! ! ! ! ! think girl day trouble see s mum  sort mr",0
"Sorry, I'll call later..urgent work..",".. .. , sorry late call work urgent",0
"At home by the way","home way",0
"Lmao you know me so well...","know ... well lmao",0
"At WHAT TIME should i come tomorrow","come time tomorrow",0
"Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk",". . free hope stop text : new tone help enjoy content unsubscribe provide",1
"7 lor... Change 2 suntec... Wat time u coming?","? 2 7 come u lor ... ... wat time change",0
"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",". up , thing sorry get feel - bad really kinda totally",0
"Well that must be a pain to catch","well pain catch",0
"Ok�beautiful..",".. � ok beautiful",0
"Have you had a good day? Mine was really busy are you up to much tomorrow night?","? ? up good tomorrow night day really busy mine",0
"K, wait chikku..il send aftr  &lt;#&gt; mins",".. , send il & & ; ; k lt # gt wait min chikku aftr",0
"There the size of elephant tablets & u shove um up ur ass!!","up u ur ! ! & ass",0
"Ok ill tell the company","ok tell ill company",0
"Ew are you one of them?","?",0
"As a valued customer, I am pleased to advise you that following recent draw of your Mobile No. you are awarded with a Rs.2,00,000 Bonus Prize, call 6200992462",". , , follow call award rs. value customer prize bonus mobile draw 2,00,000 6200992462 pleased advise recent",1
"Watching tv lor. Nice one then i like lor.",". . lor lor like nice watch tv",0
"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?","? ? ? ? ? , , good ! love love miss happy afternoon hmmm job lazy fill",0
"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?","? 9 , get get like ( ) leave hour long tyler 8th",0
"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",". 4 .. u u , ur person ! ! ! time den meet make make someone enjoy perfect ..... ;-) god .... decide dat surely till",0
"Now Get*SAUNA SLIM BELT(Rs650)&VIBRATION+SAUNA BELT(Rs999)NCR(Rs50 Extra)LoseFAT(5 inch)+FreeSLIM.TEA PH:9311304872/9268250573",". 5 get + + ( ( ( ( ) ) ) ) : * & inch extra sauna sauna slim belt belt ncr tea ph",1
"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only",". . . ! call win £ show prize todays claim urgent try contact land line 800 u. draw guaranteed",1
"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! ",". , , , hope quite year week good good ! ! ! new holiday happy journey camera lovely couple hav safe",0
"So how are you really. What are you up to. How's the masters. And so on.",". . .. up really master",0
